"no","title","oecd","score","q","issn1","issn2"
627,"Системы и средства информатики","01.02.00","0,171","3","0869-6527","2311-0325"
628,"Труды ВНИРО","04.01.00","0,170","3","2307-3497",NA
629,"Химическая технология","02.04.00","0,170","3","1684-5811",NA
630,"Гематология и трансфузиология","03.02.00","0,170","3","0234-5730","2411-3042"
631,"Российский биотерапевтический журнал","03.02.00","0,170","3","1726-9784","1726-9792"
632,"Вопросы наркологии","03.02.00","0,170","3","0234-0623",NA
633,"Евразиатский энтомологический журнал","01.06.00","0,170","3","1684-4866",NA
634,"Комплексные проблемы сердечно- сосудистых заболеваний","03.02.00","0,170","3","2306-1278","2587-9537"
635,"Экологические системы и приборы","01.06.00","0,169","3","2072-9952",NA
636,"Вестник оториноларингологии","03.02.00","0,169","3","0042-4668","2309-1274"
637,"Вестник машиностроения","02.03.00","0,169","3","0042-4633",NA
638,"Кавказский энтомологический бюллетень","01.06.00","0,169","3","1814-3326",NA
639,"Полет. Общероссийский научно-технический журнал","02.03.00","0,169","3","1684-1301",NA
640,"Строительные материалы и изделия","02.01.00","0,169","3","2618-7183",NA
641,"Медицинская иммунология","03.01.00","0,168","3","1563-0625","2313-741X"
642,"Судебная медицина","03.02.00","0,168","3","2411–8729","2409-4161"
643,"Акушерство и гинекология","03.02.00","0,167","3","0300-9092","2412-5679"
644,"Кардиология и сердечно-сосудистая хирургия","03.02.00","0,167","3","1996-6385","2309-4737"
645,"Пути к миру и безопасности","05.06.00","0,167","3","2307-1494","2311-5238"
646,"Российский журнал биомеханики","02.06.00","0,167","3","2409-6601","2410-0609"
647,"Ползуновский вестник","02.04.00","0,166","3","2072-8921",NA
648,"Урология","03.02.00","0,165","3","1728-2985","2414-9020"
649,"Бюллетень Московского общества испытателей природы. Отдел биологический","01.06.00","0,165","3",NA,"0027-1403"
650,"Журнал высшей нервной деятельности им. И.П. Павлова","03.01.00","0,165","3","0044-4677",NA
651,"Философия науки и техники","06.03.00","0,165","3","2413-9084","2658-7297"
652,"Сибирский филологический журнал","06.02.00","0,165","3","1813-7083",NA
653,"Обозрение психиатрии и медицинской психологии имени В.М. Бехтерева","03.01.00","0,165","3","2313-7053","2713-055X"
654,"Journal of Globalization Studies","05.09.00","0,164","3","2075-8103",NA
655,"Экспериментальная и клиническая урология","03.02.00","0,164","3","2222-8543","2712-8571"
656,"Современная герпетология","01.06.00","0,164","3","1814-6090","2542-1964"
657,"Эталоны. Стандартные образцы","01.04.00","0,164","3","2687-0886",NA
658,"Проблемы социальной гигиены, здравоохранения и истории медицины","03.03.00","0,164","3","0869-866X","2412-2106"
659,"Анестезиология и реаниматология (Медиа Сфера)","03.02.00","0,164","3","0201-7563","2410-4698"
660,"Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство","01.06.00","0,164","3","2073-5529","2309-978X"
661,"Мир транспорта","02.01.00","0,163","3","1992-3252",NA
662,"Пародонтология","03.02.00","0,163","3","1683-3759","1726-7269"
663,"Российский химический журнал","01.04.00","0,162","3","1024-6215","1819-3986"
664,"Гений ортопедии","03.02.00","0,160","3","1028-4427","2542-131X"
665,"Все материалы. Энциклопедический справочник","02.05.00","0,160","3","1994-6260",NA
666,"Journal of Applied Economic Research","05.02.00","0,160","3",NA,"2712-7435"
667,"Природообустройство","02.01.00","0,159","3","1997-6011",NA
668,"Экономика сельского хозяйства России","04.05.00","0,158","3","2070-0288",NA
669,"Славяноведение","06.01.00","0,157","3","0869-544X",NA
670,"Известия высших учебных заведений. Строительство","02.01.00","0,157","3","0536-1052",NA
671,"Российский физиологический журнал им. И.М. Сеченова","03.01.00","0,157","3","0869-8139","2658-655X"
672,"Научно-техническая информация. Серия 2: Информационные процессы и системы","01.02.00","0,157","3","0548-0027",NA
673,"Природные ресурсы Арктики и Субарктики","01.06.00","0,156","3","2618-9712","2686-9683"
674,"Кантовский сборник","06.03.00","0,156","3","0207-6918","2310-3701"
675,"Военно-исторический журнал","06.01.00","0,155","3","0321-0626",NA
676,"Медицинская радиология и радиационная безопасность","03.02.00","0,155","3","1024-6177","2618-9615"
677,"Информатика и образование","05.03.00","0,155","3","0234-0453","2658-7769"
678,"Онкоурология","03.02.00","0,155","3","1726-9776","1996-1812"
679,"Construction and Geotechnics","02.01.00","0,155","3","2687-0894","2687-0908"
680,"Отечественные архивы","06.01.00","0,155","3","0869-4427",NA
681,"Проблемы управления","02.02.00","0,154","3","1819-3161",NA
682,"Обзоры по клинической фармакологии и лекарственной терапии","03.01.00","0,154","3","1683-4100","2542-1875"
683,"Журнал акушерства и женских болезней","03.02.00","0,153","3","1684-0461","1683-9366"
684,"Амурский зоологический журнал","01.06.00","0,153","3","1999-4079","2686-9519"
685,"Исторический архив","06.01.00","0,153","3","0869-6322",NA
686,"Философия и общество","05.04.00","0,153","3","1681-4339",NA
687,"Вестник Московского университета. Серия 6: Экономика","05.02.00","0,153","3","0130-0105",NA
688,"Социальная и клиническая психиатрия","03.02.00","0,153","3","0869-4893",NA
689,"Бюллетень сибирской медицины","03.02.00","0,153","3","1682-0363","1819-3684"
690,"Российский вестник перинатологии и педиатрии","03.02.00","0,153","3","1027-4065","2500-2228"
691,"Стоматология","03.02.00","0,152","3","0039-1735","2309-5318"
692,"Вестник Воронежского государственного аграрного университета","05.02.00","0,152","3","2071-2243",NA
693,"Технология металлов","02.05.00","0,152","3","1684-2499",NA
694,"Медицинский академический журнал","03.01.00","0,151","3","1608-4101","2687-1378"
695,"Региональная архитектура и строительство","02.01.00","0,151","3","2072-2958",NA
696,"Здоровье населения и среда обитания - ЗНиСО","03.03.00","0,151","3","2219-5238","2619-0788"
697,"Русский язык в научном освещении","06.02.00","0,150","3","1681-1062",NA
698,"Композиты и наноструктуры","02.05.00","0,150","3","1999-7590",NA
699,"Вестник Магнитогорского государственного технического университета им. Г.И. Носова","02.05.00","0,150","3","1995-2732","2412-9003"
700,"Мехатроника, автоматизация, управление","01.02.00","0,149","4","1684-6427","2619-1253"
701,"Политическая экспертиза: ПОЛИТЭКС","05.06.00","0,149","4","1818-4499","2618-9577"
702,"Российский паразитологический журнал","03.03.00","0,149","4","1998-8435","2541-7843"
703,"Электротехника","02.02.00","0,149","4","0013-5860",NA
704,"Педиатрия. Журнал им. Г.Н. Сперанского","03.02.00","0,149","4","0031-403X","1990-2182"
705,"Анналы хирургической гепатологии","03.02.00","0,149","4","1995-5464","2408-9524"
706,"Лазерная медицина","03.02.00","0,149","4","2071-8004","2686-8644"
707,"Вестник Санкт-Петербургского университета. Менеджмент","05.02.00","0,148","4","1605-7953","2587-5868"
708,"Российский журнал боли","03.02.00","0,148","4","2219-5297","2618-9860"
709,"Деньги и кредит","05.02.00","0,148","4","0130-3090",NA
710,"Химическая промышленность сегодня","01.04.00","0,147","4","2713-2854",NA
711,"США и Канада: экономика, политика, культура","05.06.00","0,147","4","2686-6730",NA
712,"Журнал Сибирского федерального университета. Серия: Техника и технологии","02.03.00","0,147","4","1999-494X","2313-6057"
713,"Вопросы биологической, медицинской и фармацевтической химии","01.06.00","0,147","4","1560-9596","2587-7313"
714,"Человек","06.03.00","0,147","4","0236-2007",NA
715,"Детские инфекции","03.02.00","0,147","4","2072-8107","2618-8139"
716,"Электричество","02.02.00","0,146","4","0013-5380","2411-1333"
717,"Вопросы истории естествознания и техники","06.05.00","0,145","4","0205-9606",NA
718,"Обработка металлов (технология, оборудование, инструменты)","02.05.00","0,145","4","1994-6309","2541-819X"
719,"Хранение и переработка сельхозсырья","02.11.00","0,145","4","2072-9669","2658-767X"
720,"Вестник трансплантологии и искусственных органов","03.02.00","0,145","4","1995-1191","2412-6160"
721,"Вестник урологии","03.02.00","0,145","4",NA,"2308-6424"
722,"Гинекология","03.02.00","0,144","4","2079-5696","2079-5831"
723,"Хирургия. Журнал им. Н.И. Пирогова","03.02.00","0,143","4","0023-1207","2309-5628"
724,"Вопросы нейрохирургии им. Н.Н. Бурденко","03.02.00","0,143","4","0042-8817","2309-1681"
725,"Известия высших учебных заведений. Порошковая металлургия и функциональные покрытия","02.05.00","0,143","4","1997-308X","2412-8767"
726,"Известия Российской академии наук. Серия литературы и языка","06.02.00","0,143","4","1605-7880","2413-7715"
727,"Медицинский совет","03.01.00","0,143","4","2079-701X","2658-5790"
728,"Доктор.Ру","03.02.00","0,142","4","1727-2378",NA
729,"Гидротехническое строительство","02.01.00","0,142","4","0016-9714",NA
730,"Авиакосмическая и экологическая медицина","03.02.00","0,142","4","0233-528X",NA
731,"Исследования и практика в медицине","03.02.00","0,142","4","2409-2231","2410-1893"
732,"Russian Journal of Nematology","01.06.00","0,141","4","0869-6918",NA
733,"Сталь","02.05.00","0,141","4","0038-920X",NA
734,"Научное приборостроение","02.11.00","0,140","4","0868-5886","2312-2951"
735,"Спортивная медицина: наука и практика","03.03.00","0,140","4","2223-2524","2587-9014"
736,"Антибиотики и химиотерапия","03.01.00","0,140","4","0235-2990",NA
737,"Новый филологический вестник","06.02.00","0,140","4","2072-9316",NA
738,"Электрометаллургия","02.05.00","0,139","4","1684-5781",NA
739,"Робототехника и техническая кибернетика","01.02.00","0,139","4","2310-5305","2312-6612"
740,"Теория и практика физической культуры","03.03.00","0,138","4","0040-3601",NA
741,"Российский психиатрический журнал","03.02.00","0,138","4","1560-957X",NA
742,"Нефрология и диализ","03.02.00","0,138","4","1680-4422","2618-9801"
743,"Экспериментальная и клиническая гастроэнтерология","03.02.00","0,137","4","1682-8658",NA
744,"Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий","05.07.00","0,137","4",NA,"2227-6548"
745,"Музыкальное искусство и образование","05.03.00","0,137","4","2309-1428",NA
746,"Программная инженерия","01.02.00","0,137","4","2220-3397",NA
747,"Вестник дерматологии и венерологии","03.02.00","0,136","4","0042-4609","2313-6294"
748,"Логические исследования","06.03.00","0,135","4","2074-1472","2413-2713"
749,"Бюллетень НЦССХ им. А.Н. Бакулева РАМН. Сердечно-сосудистые заболевания","03.02.00","0,135","4","1810-0694","2410-9959"
750,"Нервные болезни","03.02.00","0,133","4","2226-0757",NA
751,"Лесной вестник. Forestry Bulletin","04.01.00","0,133","4","2542-1468",NA
752,"Вестник Санкт-Петербургского университета. Язык и литература","06.02.00","0,133","4","2541-9358","2541-9366"
753,"Стандарты и качество","05.02.00","0,133","4","0038-9692",NA
754,"Российский педиатрический журнал","03.02.00","0,132","4","1560-9561","2413-2918"
755,"Вопросы онкологии","03.02.00","0,131","4","0507-3758",NA
756,"Вопросы материаловедения","02.05.00","0,131","4","1994-6716",NA
757,"Психиатрия и психофармакотерапия","03.02.00","0,131","4","2075-1761",NA
758,"Актуальные проблемы Европы","05.07.00","0,130","4","0235-5620",NA
759,"Русская литература","06.02.00","0,130","4","0131-6095",NA
760,"Труды Института системного программирования РАН","01.02.00","0,130","4","2079-8156","2220-6426"
761,"Экспериментальная и клиническая фармакология","03.01.00","0,130","4","0869-2092",NA
762,"Известия высших учебных заведений. Машиностроение","02.03.00","0,130","4","0536-1044",NA
763,"Креативная кардиология","03.02.00","0,130","4","1997-3187","2410-9169"
764,"Трансляционная медицина","03.01.00","0,130","4","2311-4495","2410-5155"
765,"Электронная техника. Серия 3: Микроэлектроника","02.02.00","0,130","4","2410-9932",NA
766,"Корпоративные финансы","05.02.00","0,129","4",NA,"2073-0438"
767,"Медицинская паразитология и паразитарные болезни","03.02.00","0,129","4","0025-8326","2713-1777"
768,"Сварка и диагностика","02.05.00","0,129","4","2071-5234",NA
769,"Проблемы Дальнего Востока","05.06.00","0,129","4","0131-2812","2712-9098"
770,"Авиакосмическое приборостроение","02.03.00","0,129","4","2073-0020",NA
771,"Педиатр","03.02.00","0,128","4","2079-7850","2587-6252"
772,"Нефтяное хозяйство","02.07.00","0,128","4","0028-2448",NA
773,"МИР (Модернизация. Инновации. Развитие)","05.02.00","0,128","4","2079-4665","2411-796X"
774,"Труды Санкт-Петербургского научно- исследовательского института лесного хозяйства","04.01.00","0,128","4","2079-6080",NA
775,"Клиническая дерматология и венерология","03.02.00","0,128","4","1997-2849","2309-4877"
776,"Инженерное образование","05.03.00","0,128","4","1810-2883","2588-0306"
777,"Известия Российской академии наук. Энергетика","02.02.00","0,127","4","0002-3310",NA
778,"Грудная и сердечно-сосудистая хирургия","03.02.00","0,127","4","0236-2791","2410-8685"
779,"Моделирование и анализ информационных систем","01.02.00","0,127","4","1818-1015","2313-5417"
780,"Сибирский онкологический журнал","03.02.00","0,127","4","1814-4861","2312-3168"
781,"Космонавтика и ракетостроение","02.03.00","0,127","4","1994-3210",NA
782,"Журнал эволюционной биохимии и физиологии","01.06.00","0,126","4","0044-4529",NA
783,"Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение","06.03.00","0,126","4","1991-640X","2409-4692"
784,"Consilium Medicum","03.02.00","0,126","4","2075-1753","2542-2170"
785,"Российский электронный журнал лучевой диагностики","03.02.00","0,126","4",NA,"2222-7415"
786,"Вестник аритмологии","03.02.00","0,126","4","1561-8641","2658-7327"
787,"Анналы аритмологии","03.02.00","0,126","4","1814-6791","2307-6313"
788,"Международный журнал исследований культуры","06.03.00","0,125","4",NA,"2079-1100"
789,"Известия высших учебных заведений. Поволжский регион. Физико-математические науки","01.03.00","0,125","4","2072-3040",NA
790,"Известия высших учебных заведений. Приборостроение","01.02.00","0,125","4","0021-3454","2500-0381"
791,"Альманах клинической медицины","03.02.00","0,125","4","2072-0505","2587-9294"
792,"Российский вестник акушера-гинеколога","03.02.00","0,125","4","1726-6122","2309-5148"
793,"Studia Litterarum","06.02.00","0,124","4","2500-4247","2541-8564"
794,"Новое литературное обозрение","05.09.00","0,123","4","0869-6365","2309-9968"
795,"Правоведение","05.05.00","0,123","4","2658-6037","2658-3623"
796,"Традиционная культура","06.02.00","0,123","4","2410-6658",NA
797,"Банковское право","05.02.00","0,123","4","1812-3945",NA
798,"Россия в глобальной политике","05.06.00","0,122","4","1810-6439","1810-6447"
799,"Слово.ру: балтийский акцент","06.02.00","0,121","4","2225-5346","2686-8989"
800,"Программные системы: теория и приложения","01.02.00","0,121","4",NA,"2079-3316"
801,"Вестник Санкт-Петербургского университета. Искусствоведение","06.04.00","0,121","4","2221-3007","2542-2243"
802,"Медицинская физика","02.06.00","0,121","4","1810-200X",NA
803,"Литейное производство","02.03.00","0,121","4","0024-449X",NA
804,"Клиническая нефрология","03.02.00","0,121","4","2075-3594","2414-9322"
805,"Медико-социальная экспертиза и реабилитация","03.03.00","0,120","4","1560-9537","2412-2092"
806,"Техника и технология силикатов","02.05.00","0,120","4","2076-0655",NA
807,"Научные и технические библиотеки","05.08.00","0,120","4","1027-3689","2686-8601"
808,"Флебология","03.02.00","0,120","4","1997-6976","2309-5601"
809,"Актуальные проблемы теории и истории искусства","06.04.00","0,118","4","2312-2129",NA
810,"Офтальмохирургия","03.02.00","0,118","4","0235-4160","2312-4970"
811,"Acta Biomedica Scientifica (East Siberian Biomedical Journal)","03.02.00","0,117","4","2541-9420","2587-9596"
812,"Труды Крыловского государственного научного центра","02.01.00","0,117","4","2542-2324","2618-8244"
813,"Вестник Самарского университета. Аэрокосмическая техника, технологии и машиностроение","02.03.00","0,117","4","2542-0453","2541-7533"
814,"Информационные технологии","01.02.00","0,117","4","1684-6400",NA
815,"Ортопедия, травматология и восстановительная хирургия детского возраста","03.02.00","0,116","4","2309-3994","2410-8731"
816,"Бюллетень физиологии и патологии дыхания","03.02.00","0,116","4","1998-5029",NA
817,"Современная онкология","03.02.00","0,116","4","1815-1434","1815-1442"
818,"Онкогематология","03.02.00","0,116","4","1818-8346","2413-4023"
819,"Пищевая промышленность","02.11.00","0,116","4","0235-2486",NA
820,"Цифровая обработка сигналов","01.02.00","0,115","4","1684-2634",NA
821,"Вестник рентгенологии и радиологии","03.02.00","0,115","4","0042-4676","2619-0478"
822,"Контроль. Диагностика","02.05.00","0,115","4","0201-7032",NA
823,"Российский стоматологический журнал","03.02.00","0,115","4","1728-2802","2413-2934"
824,"Известия высших учебных заведений. Ядерная энергетика","02.11.00","0,114","4","0204-3327",NA
825,"Ведомости Научного центра экспертизы средств медицинского применения. Регуляторные исследования и экспертиза лекарственных средств","03.01.00","0,114","4","1991-2919","2619-1172"
826,"Программные продукты и системы","01.02.00","0,114","4","0236-235X","2311-2735"
827,"Проблемы машиностроения и автоматизации","02.02.00","0,113","4","0234-6206",NA
828,"Все о мясе","04.05.00","0,113","4","2071-2499",NA
829,"Сибирский журнал клинической и экспериментальной медицины","03.02.00","0,113","4","2713-2927","2713-265X"
830,"Клиническая геронтология","03.02.00","0,113","4","1607-2499","2658-4646"
831,"Свиноводство","04.02.00","0,112","4","0039-713X",NA
832,"Российский иммунологический журнал","01.06.00","0,112","4","1028-7221",NA
833,"Инженерная физика","01.02.00","0,112","4",NA,"2072-9995"
834,"Клиническая стоматология","03.02.00","0,111","4","1811-153X","2713-2846"
835,"Доказательная гастроэнтерология","03.02.00","0,111","4","2305-2260","2309-1363"
836,"Информационное общество","05.08.00","0,111","4","1606-1330","1605-9921"
837,"Лечебное дело","03.02.00","0,110","4","2071-5315",NA
838,"Сибирский научный медицинский журнал","03.01.00","0,110","4","2410-2512","2410-2520"
839,"Вестник Московского университета. Серия 10: Журналистика","05.08.00","0,110","4","0320-8079","2658-3526"
840,"Вестник Южно-Уральского государственного университета. Серия: Энергетика","02.02.00","0,110","4","1990-8512","2409-1057"
841,"Патологическая физиология и экспериментальная терапия","03.02.00","0,109","4","0031-2991",NA
842,"Офтальмологические ведомости","03.02.00","0,109","4","1998-7102","2412-5423"
843,"Нано- и микросистемная техника","02.02.00","0,109","4","1813-8586",NA
844,"Сеченовский вестник","03.02.00","0,108","4","2218-7332","2658-3348"
845,"Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 3: Филология","06.02.00","0,108","4","1991-6485","2409-4897"
846,"Вестник Московского университета. Серия 7: Философия","06.03.00","0,108","4","0201-7385",NA
847,"Вопросы диетологии","03.02.00","0,108","4","2224-5448","2414-9004"
848,"Нейрохирургия","03.02.00","0,108","4","1683-3295","2587-7569"
849,"Пластическая хирургия и эстетическая медицина","03.02.00","0,108","4","2686-7346","2713-3389"
850,"Вестник Московского университета. Серия 9: Филология","06.02.00","0,107","4","0130-0075",NA
851,"Вестник хирургии им. И.И. Грекова","03.02.00","0,107","4","0042-4625","2686-7370"
852,"Металлы","02.05.00","0,106","4","0869-5733",NA
853,"Проблемы черной металлургии и материаловедения","02.05.00","0,106","4","1997-9258",NA
854,"Philologia Classica","06.02.00","0,106","4","0202-2532","2618-6969"
855,"Россия и современный мир","05.09.00","0,106","4","1726-5223",NA
856,"Военно-медицинский журнал","03.01.00","0,106","4","0026-9050",NA
857,"Казанский медицинский журнал","03.01.00","0,105","4","0368-4814","2587-9359"
858,"Российский аллергологический журнал","03.02.00","0,105","4","1810-8830","2686-682X"
859,"Упрочняющие технологии и покрытия","02.05.00","0,105","4","1813-1336",NA
860,"Вестник Российского фонда фундаментальных исследований. Гуманитарные и общественные науки","05.09.00","0,104","4","2587-6090","2587-8956"
861,"Финно-угорский мир","06.02.00","0,103","4","2076-2577","2541-982X"
862,"Acta Linguistica Petropolitana. Труды института лингвистических исследований","06.02.00","0,103","4","2306-5737","2658-4069"
863,"Известия высших учебных заведений. Электромеханика","02.02.00","0,103","4","0136-3360",NA
864,"Вестник антропологии","05.09.00","0,103","4","2311-0546",NA
865,"Кубанский научный медицинский вестник","03.01.00","0,103","4","1608-6228","2541-9544"
866,"Автоматика, связь, информатика","02.02.00","0,102","4","0005-2329",NA
867,"Modern Electronic Materials","02.02.00","0,102","4","2452-2449","2452-1779"
868,"Сибирское медицинское обозрение","03.02.00","0,102","4","1819-9496","2500-0136"
869,"Фундаментальные проблемы современного материаловедения","02.05.00","0,101","4","1811-1416",NA
870,"Информационные процессы","01.02.00","0,101","4",NA,"1819-5822"
871,"Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии","01.02.00","0,101","4","1995-5499",NA
872,"Ежегодник финно-угорских исследований","05.07.00","0,101","4","2224-9443","2311-0333"
873,"Управление большими системами: сборник трудов","01.02.00","0,101","4","1819-2440","1819-2467"
874,"Материаловедение. Энергетика","02.05.00","0,101","4",NA,"2687-1300"
875,"Вестник Российской Военно-медицинской академии","03.02.00","0,101","4","1682-7392","2687-1424"
876,"Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия Машиностроение","02.02.00","0,100","4","0236-3941","2413-6247"
877,"Кардиологический вестник","03.02.00","0,100","4","2077-6764","2712-889X"
878,"Известия высших учебных заведений. Цветная металлургия","02.05.00","0,100","4","0021-3438","2412-8783"
879,"Клиническая и экспериментальная морфология","03.01.00","0,100","4","2226-5988","2686-6749"
880,"Нервно-мышечные болезни","03.02.00","0,099","4","2222-8721","2413-0443"
881,"Профилактическая и клиническая медицина","03.02.00","0,099","4","2074-9120",NA
882,"Медицинская генетика","03.01.00","0,098","4","2073-7998",NA
883,"Японские исследования","05.07.00","0,097","4","2500-2872",NA
884,"Индоевропейское языкознание и классическая филология","06.02.00","0,096","4","2306-9015","2658-6452"
885,"Неврологический вестник","03.02.00","0,095","4","1027-4898","2304-3067"
886,"Вопросы литературы","06.02.00","0,094","4","0042-8795",NA
887,"Человек и его здоровье","03.01.00","0,094","4","1998-5746","1998-5754"
888,"Молекулярная медицина","03.01.00","0,093","4","1728-2918","2499-9490"
889,"Восток. Афро-Азиатские общества: история и современность","05.07.00","0,091","4","0869-1908","2713-0401"
890,"Сварочное производство","02.05.00","0,091","4","0491-6441",NA
891,"Эндоскопическая хирургия","03.02.00","0,091","4","1025-7209","2309-5636"
892,"Вестник Северо-Западного государственного медицинского университета им. И.И. Мечникова","03.02.00","0,091","4","2618-7116","2618-9704"
893,"Вестник Волгоградского государственного медицинского университета","03.02.00","0,090","4","1994-9480","1994-9499"
894,"Иммунопатология, аллергология, инфектология","03.01.00","0,090","4","2412-320X",NA
895,"Журнал стресс-физиологии и биохимии","01.06.00","0,090","4","1997-0838",NA
896,"ТРУДЫ МФТИ. Труды Московского физико- технического института (национального исследовательского университета)","02.02.00","0,090","4","2072-6759",NA
897,"Детская хирургия","03.02.00","0,090","4","1560-9510","2412-0677"
898,"Head and Neck/Голова и шея. Российское издание. Журнал Общероссийской общественной организации Федерация специалистов по лечению заболеваний головы и шеи","03.02.00","0,089","4","2310-5194","2414-9713"
899,"Датчики и системы","01.02.00","0,089","4","1992-7185",NA
900,"Нефтегазовое дело","02.07.00","0,088","4","2073-0128",NA
901,"Радиотехника","02.02.00","0,088","4","0033-8486",NA
902,"Онкология. Журнал им. П.А. Герцена","03.02.00","0,088","4","2305-218X","2309-4745"
903,"Биомедицинская радиоэлектроника","02.02.00","0,088","4","1560-4136",NA
904,"Приборы и системы. Управление, контроль, диагностика","02.02.00","0,088","4","2073-0004",NA
905,"Русская речь","06.02.00","0,087","4","0131-6117",NA
906,"Русский язык в школе","06.02.00","0,086","4","0131-6141","2619-0966"
907,"Клиническая физиология кровообращения","03.02.00","0,084","4","1814-6910","2410-9134"
908,"Вестник травматологии и ортопедии им. Н.Н. Приорова","03.02.00","0,082","4","0869-8678",NA
909,"Клиническая медицина","03.02.00","0,082","4","0023-2149","2412-1339"
910,"Российская стоматология","03.02.00","0,082","4","2072-6406","2309-5156"
911,"Практическая онкология","03.02.00","0,080","4","1726-9814",NA
912,"Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия Приборостроение","02.02.00","0,079","4","0236-3933","2687-0614"
913,"Мясная индустрия","04.05.00","0,079","4","2618-8252",NA
914,"Российский медицинский журнал","03.02.00","0,079","4","0869-2106","2412-9100"
915,"Известия высших учебных заведений России. Радиоэлектроника","02.02.00","0,078","4","1993-8985","2658-4794"
916,"Российский вестник детской хирургии, анестезиологии и реаниматологии","03.02.00","0,077","4","2219-4061","2587-6554"
917,"Известия высших учебных заведений. Пищевая технология","02.09.00","0,077","4","0579-3009",NA
918,"Технологии нефти и газа","02.07.00","0,074","4","1815-2600",NA
919,"Вестник Национального медико- хирургического центра им. Н.И. Пирогова","03.01.00","0,074","4","2072-8255","2782-3628"
920,"Детские болезни сердца и сосудов","03.02.00","0,072","4","1810-0686","2410-8855"
921,"Российский журнал кожных и венерических болезней","03.02.00","0,072","4","1560-9588","2412-9097"
922,"Философия науки","06.03.00","0,069","4","1560-7488",NA
923,"Вестник неврологии, психиатрии и нейрохирургии","03.01.00","0,066","4","2074-6822",NA
924,"Скандинавская филология","06.02.00","0,065","4","0202-2397","2618-9518"
925,"Труды Российского государственного университета нефти и газа имени И.М. Губкина","02.07.00","0,059","4","2073-9028",NA
926,"Судостроение","02.07.00","0,057","4","0039-4580",NA
927,"Электромагнитные волны и электронные системы","02.02.00","0,056","4","1560-4128",NA
928,"Вестник Санкт-Петербургского университета. Медицина","03.01.00","0,049","4","1818-2909","2587-5876"
929,"Эндокринная хирургия","03.02.00","0,049","4","2306-3513","2310-3965"
930,"Технологии живых систем","02.08.00","0,039","4","2070-0997",NA
931,"Наноиндустрия","02.10.00","0,037","4","1993-8578","2687-0282"
